"docid" "Reference"
"5ab3a244cf58f1b894d357b0" "Ranestad, Kristin, 2017, Multinational mining companies, employment and knowledge transfer: Chile and Norway from ca. 1870 to 1940, Business History, , , 1--25, 10.1080/00076791.2017.1407313"
"55a74c1ce13823757cc6ff1c" "Grimes, D. J.; Stewart, K. C.; Wilson, S. A.; Kretschmer, E. L., 1996, The characterization of USGS gold reference standard, DGPM-1, Open-File Report, , , , "
"5d503c280b45c76cafa4732d" "Pearson, Robert Carl, 1996, Cambrian(?), middle Proterozoic, and Archean rocks penetrated in a borehole near Argenta, Beaverhead County, Montana, and some paleogeographic and structural implications, Bulletin, , , , 10.3133/b2121B"
"5d503c280b45c76cafa4732a" "Stevens, Calvin H.; Klingman, Darrell S.; Sandberg, Charles A.; Stone, Paul; Belasky, Paul; Poole, Forrest G.; Snow, J. Kent, 1996, Mississippian stratigraphic framework of east-central California and southern Nevada with revision of Upper Devonian and Mississippian stratigraphic units in Inyo County, California, Bulletin, , , , 10.3133/b1988J"
"54e53503e138237cc9150041" "Marin-Carbonne, Johanna; Rollion-Bard, Claire; Bekker, Andrey; Rouxel, Olivier; Agangi, Andrea; Cavalazzi, Barbara; Wohlgemuth-Ueberwasser, Cora C.; Hofmann, Axel; McKeegan, Kevin D., 2014, Coupled Fe and S isotope variations in pyrite nodules from Archean shale, Earth and Planetary Science Letters, , , 67--79, 10.1016/j.epsl.2014.02.009"
"5592d3b3e138236ee2218180" "Large, Duncan, 1981, The geochemistry of the sedimentary rocks in the vicinity of the Tom Pb-Zn-Ba deposit, Yukon Territory, Canada, Journal of Geochemical Exploration, 15, 1-3, 203--217, 10.1016/0375-6742(81)90063-7"
"58d03bf6cf58f138516d120e" "Tompkins, L. A.; Cowan, D. R., 2001, Opaque mineralogy and magnetic properties of selected banded iron‐formations, Hamersley Basin, Western Australia, Australian Journal of Earth Sciences, 48, 3, 427--437, 10.1046/j.1440-0952.2001.00869.x"
"54b43276e138239d86851d8a" "Ghanizadeh, Amin; Gasparik, Matus; Amann-Hildenbrand, Alexandra; Gensterblum, Yves; Krooss, Bernhard M., 2014, Experimental study of fluid transport processes in the matrix system of the European organic-rich shales: I. Scandinavian Alum Shale, Marine and Petroleum Geology, , , 79--99, 10.1016/j.marpetgeo.2013.10.013"
"57335833cf58f11578f74ec0" "Thomas P. Lonnie (2), 1982, Mineralogic and Chemical Comparison of Marine, Nonmarine, and Transitional Clay Beds on South Shore of Long Island, New York, SEPM Journal of Sedimentary Research, Vol. 52, , , 10.1306/212f7f95-2b24-11d7-8648000102c1865d"
"57f92621cf58f12f14d43382" "ESTEVE, JORGE; HUGHES, NIGEL C.; ZAMORA, SAMUEL, 2013, Thoracic structure and enrolment style in middle Cambrian Eccaparadoxides pradoanus presages caudalization of the derived trilobite trunk, Palaeontology, 56, 3, 589--601, 10.1111/pala.12004"
