,framboids,nodules,undif,seds,Age
435,3,1,68,816,434
436,3,1,67,803,435
437,3,1,66,814,436
438,1,1,86,785,437
439,1,1,89,792,438
440,1,1,88,785,439
441,1,1,87,746,440
442,1,1,83,725,441
443,1,1,73,694,442
444,1,1,57,814,443
445,1,2,74,885,444
446,1,2,84,957,445
447,1,2,86,923,446
448,7,2,92,961,447
449,4,2,67,973,448
450,3,2,96,968,449
451,5,2,91,974,450
452,6,2,92,978,451
453,6,1,92,940,452
454,6,1,100,949,453
455,5,1,87,940,454
456,3,1,89,953,455
457,3,1,94,976,456
458,5,1,93,798,457
459,4,0,85,693,458
460,4,0,67,714,459
461,4,0,66,708,460
462,4,0,66,711,461
463,4,0,67,698,462
464,4,0,62,690,463
465,4,0,62,670,464
466,4,0,60,675,465
467,3,0,58,600,466
468,3,0,61,603,467
469,3,0,61,604,468
470,4,0,71,654,469
471,4,0,72,658,470
472,4,0,82,698,471
473,4,0,83,708,472
474,4,0,84,708,473
475,4,0,85,714,474
476,4,0,105,750,475
477,4,0,104,744,476
478,3,0,112,769,477
479,3,0,108,752,478
480,4,0,119,773,479
481,4,0,119,775,480
482,4,0,119,776,481
483,2,0,123,782,482
484,2,0,122,752,483
485,4,0,98,595,484
486,4,0,98,560,485
487,4,0,90,596,486
488,4,0,90,595,487
489,4,1,90,596,488
490,4,1,90,599,489
491,5,1,90,601,490
492,5,1,86,613,491
493,5,1,85,591,492
494,6,1,80,603,493
495,6,1,80,594,494
496,6,1,76,601,495
497,18,0,78,570,496
498,2,0,85,602,497
499,2,0,76,515,498
500,2,0,84,531,499
501,3,1,70,436,500
502,8,1,56,465,501
503,6,1,52,435,502
504,7,1,69,452,503
505,6,1,68,443,504
506,6,1,70,445,505
507,6,1,71,444,506
508,8,1,70,419,507
509,14,1,72,415,508
510,17,1,67,406,509
511,18,0,53,304,510
512,18,0,52,302,511
513,19,0,55,305,512
514,19,0,58,313,513
515,7,0,49,304,514
516,4,0,43,287,515
517,4,0,40,282,516
518,4,0,23,258,517
519,4,0,23,258,518
520,4,0,23,257,519
521,4,0,28,244,520
522,4,0,25,236,521
523,4,0,27,240,522
524,4,0,26,239,523
525,4,0,26,237,524
526,4,0,27,231,525
527,4,0,27,230,526
528,3,0,26,227,527
529,3,0,25,216,528
