,edge,span,mid,variable,Type.5,Type.1,Type.2,Type.3,Type.4
68,284,1,283.5,min,0.025754337,0.088833403,0.042546987,0.720570501,0.044952158
69,284,1,283.5,max,0.047142859,0.126950605,0.067816461,0.763292427,0.072140262
70,286,2,285,mean,0.026043614,0.105430945,0.058193146,0.755991693,0.054340602
71,286,2,285,min,0.016112059,0.089629383,0.045189318,0.733791715,0.039980294
72,286,2,285,max,0.035975168,0.121232507,0.071196975,0.77819167,0.068700911
73,290,4,288,mean,0.017650571,0.109667705,0.067076843,0.76241433,0.04319055
74,290,4,288,min,0.008739845,0.088845428,0.049688789,0.73732853,0.029520448
75,290,4,288,max,0.026561297,0.130489982,0.084464898,0.78750013,0.056860653
76,292,2,291,mean,0.016879543,0.155036345,0.10394081,0.683717549,0.040425753
77,292,2,291,min,0.009849725,0.120046671,0.075250277,0.620675156,0.028007365
78,292,2,291,max,0.023909362,0.190026018,0.132631343,0.746759943,0.052844141
79,293,1,292.5,mean,0.020654206,0.204548287,0.150778816,0.575337487,0.048681205
80,293,1,292.5,min,0.012855974,0.187761415,0.131655175,0.555997778,0.035426302
81,293,1,292.5,max,0.028452438,0.221335158,0.169902458,0.594677196,0.061936107
82,294,1,293.5,mean,0.025680166,0.230519211,0.200913811,0.484392523,0.058494289
83,294,1,293.5,min,0.018789811,0.211215309,0.180863762,0.46315229,0.045828434
84,294,1,293.5,max,0.032570521,0.249823112,0.22096386,0.505632756,0.071160143
85,295,1,294.5,mean,0.032024922,0.225700935,0.262263759,0.408431983,0.071578401
86,295,1,294.5,min,0.024646834,0.205887189,0.239994405,0.385496527,0.057408514
87,295,1,294.5,max,0.03940301,0.24551468,0.284533113,0.431367439,0.085748288
88,296,1,295.5,mean,0.042990654,0.209262721,0.329293873,0.336116303,0.082336449
89,296,1,295.5,min,0.034130047,0.190499059,0.309717892,0.313434903,0.068876011
90,296,1,295.5,max,0.051851262,0.228026382,0.348869854,0.358797704,0.095796886
91,300,4,298,mean,0.10317757,0.135558152,0.384976636,0.265503634,0.110784008
92,300,4,298,min,0.032344017,0.065877589,0.353304787,0.216159534,0.08016736
93,300,4,298,max,0.174011123,0.205238714,0.416648484,0.314847735,0.141400656
94,305,5,302.5,mean,0.395844237,0.026853583,0.278134995,0.171530633,0.127636552
95,305,5,302.5,min,0.134196623,0,0.153488551,0.093307571,0.093826678
96,305,5,302.5,max,0.65749185,0.066464811,0.402781438,0.249753696,0.161446427
97,306,1,305.5,mean,0.628618899,0.001214953,0.173727934,0.106874351,0.089563863
98,306,1,305.5,min,0.611593544,0,0.155233178,0.09408654,0.074292613
99,306,1,305.5,max,0.645644254,0.003703229,0.192222689,0.119662162,0.104835113
100,308,2,307,mean,0.681765317,0.000758048,0.135301142,0.092211838,0.089963655
101,308,2,307,min,0.642819848,0,0.105616123,0.074957142,0.074437084
