"","framboids","nodules","min","undif","seds","Wilkin.one","Wilkin.three","Wilkin.five","Wilkin.all","Age"
"1",2,1,3,67,2342,2,11,17,255,0
"2",2,0,1,40,903,1,5,10,143,1
"3",1,0,1,35,522,2,13,17,224,2
"4",1,2,3,29,460,2,17,18,125,3
"5",3,2,4,57,602,6,20,22,209,4
"6",3,3,4,54,563,6,23,25,167,5
"7",3,2,4,55,604,7,21,23,167,6
"8",3,1,4,44,614,7,21,32,183,7
"9",3,0,4,44,603,7,17,26,167,8
"10",3,0,4,44,645,7,16,21,162,9
"11",4,0,4,47,647,13,22,27,182,10
"12",7,0,4,53,618,14,24,27,179,11
"13",12,0,3,58,638,21,27,32,183,12
"14",9,0,2,59,601,18,30,38,189,13
"15",22,1,2,61,622,12,24,33,176,14
"16",8,0,2,57,673,6,16,27,165,15
"17",7,3,4,62,695,6,20,31,194,16
"18",4,0,4,60,666,5,13,24,166,17
"19",4,0,5,61,673,5,11,22,170,18
"20",4,0,3,54,641,4,9,23,165,19
"21",4,1,3,56,653,4,9,23,164,20
"22",4,2,3,74,647,4,12,23,154,21
"23",1,0,3,65,577,4,16,28,209,22
"24",1,0,3,86,601,4,14,25,147,23
"25",1,1,3,80,599,4,15,24,141,24
"26",1,1,4,74,583,5,14,23,144,25
"27",0,2,2,70,614,5,17,26,162,26
"28",0,2,2,68,570,5,14,24,150,27
"29",0,2,2,69,590,3,9,17,136,28
"30",0,5,2,70,593,7,13,20,142,29
"31",0,2,2,69,574,2,12,19,132,30
"32",1,2,3,83,604,5,14,21,137,31
"33",10,5,3,66,582,2,11,18,130,32
"34",12,7,4,78,633,2,12,25,197,33
"35",12,13,3,75,719,1,23,31,154,34
"36",9,12,3,67,626,1,18,26,124,35
"37",9,13,3,75,691,1,28,36,139,36
"38",3,12,4,66,650,7,23,33,145,37
"39",2,14,3,74,681,7,28,37,150,38
"40",3,15,5,88,711,1,25,41,162,39
"41",3,15,5,89,716,1,22,43,166,40
"42",3,16,5,91,710,1,27,46,156,41
"43",5,17,6,78,677,1,23,42,176,42
"44",6,17,6,78,674,1,15,29,142,43
"45",6,17,6,79,673,1,15,28,142,44
"46",8,15,3,82,710,1,20,33,155,45
"47",8,15,3,78,678,1,19,31,145,46
"48",7,18,3,77,652,1,16,31,155,47
"49",7,18,3,76,650,1,11,24,142,48
"50",4,22,6,68,634,1,11,25,155,49
"51",4,22,6,72,635,1,7,21,140,50
"52",4,23,7,73,627,1,7,21,134,51
"53",4,23,7,82,634,1,7,21,130,52
"54",4,19,5,79,632,1,7,21,148,53
"55",4,20,5,79,634,1,6,20,133,54
"56",3,18,4,58,563,2,8,32,174,55
"57",2,17,2,62,547,2,5,24,140,56
"58",2,3,2,59,561,3,6,35,140,57
"59",2,3,2,69,530,4,6,37,117,58
"60",2,3,2,69,528,4,6,33,105,59
"61",2,3,2,69,523,4,6,34,106,60
"62",2,3,2,69,535,5,7,39,115,61
"63",1,10,2,73,530,5,7,32,120,62
"64",1,2,1,61,507,4,6,30,99,63
"65",1,2,2,58,478,4,6,30,104,64
"66",2,7,7,70,556,6,10,31,171,65
"67",2,8,7,69,574,6,8,18,123,66
"68",2,8,8,75,609,8,11,35,157,67
"69",2,8,8,79,611,8,11,29,148,68
"70",2,8,8,84,610,8,11,29,141,69
"71",12,7,9,102,645,9,12,30,186,70
"72",10,13,9,110,706,8,11,22,210,71
"73",10,13,9,103,698,8,11,20,192,72
"74",5,13,9,106,715,8,12,21,194,73
"75",3,13,9,102,672,10,20,29,213,74
"76",4,13,9,108,700,9,18,22,200,75
"77",4,13,9,108,698,9,18,22,198,76
"78",4,13,9,109,700,9,17,21,198,77
"79",4,11,9,99,670,9,18,22,200,78
"80",4,11,9,96,665,11,20,24,204,79
"81",4,9,9,93,661,11,20,24,218,80
"82",5,9,9,94,671,11,19,23,202,81
"83",5,9,9,93,656,11,19,23,194,82
"84",8,15,7,60,617,14,30,35,263,83
"85",8,7,7,50,512,11,21,25,158,84
"86",11,9,7,47,558,12,30,35,192,85
"87",11,9,7,41,540,11,31,34,170,86
"88",11,9,7,41,537,11,30,33,157,87
"89",11,10,7,41,545,11,32,35,164,88
"90",13,11,8,51,548,17,40,45,181,89
"91",12,12,9,57,592,17,46,54,181,90
"92",12,12,9,55,564,17,42,50,162,91
"93",12,12,9,58,600,17,43,52,173,92
"94",9,15,10,62,582,17,47,56,178,93
"95",9,11,10,59,597,15,44,51,158,94
"96",6,8,10,56,585,15,42,50,178,95
"97",6,10,10,56,596,11,41,47,158,96
"98",6,9,10,53,593,11,45,51,161,97
"99",6,9,9,61,591,11,46,59,184,98
"100",7,4,7,80,591,13,54,70,237,99
"101",7,4,7,80,572,10,42,55,170,100
"102",7,4,7,77,572,10,42,55,177,101
"103",8,3,7,80,561,10,45,58,188,102
"104",4,2,7,67,536,11,39,52,184,103
"105",4,4,7,62,549,11,36,43,146,104
"106",4,4,7,62,552,11,35,42,132,105
"107",4,4,7,61,544,12,35,42,134,106
"108",9,5,7,62,557,12,36,45,133,107
"109",5,5,7,66,565,12,38,47,133,108
"110",5,5,6,77,552,12,42,49,134,109
"111",6,6,6,74,552,12,36,43,125,110
"112",6,7,6,75,551,12,36,44,121,111
"113",8,5,5,66,516,12,43,51,143,112
"114",6,5,5,65,515,12,26,32,108,113
"115",6,5,5,67,510,13,29,35,115,114
"116",3,5,7,69,492,13,28,36,126,115
"117",3,5,7,68,496,13,22,30,118,116
"118",3,5,7,68,499,13,21,29,114,117
"119",3,5,7,68,499,13,21,29,114,118
"120",3,5,7,68,504,13,21,29,115,119
"121",3,5,7,68,497,13,21,29,114,120
"122",3,5,7,70,499,13,21,29,119,121
"123",3,5,7,71,500,13,21,28,115,122
"124",3,5,7,71,499,13,21,28,115,123
"125",2,3,6,65,416,13,21,29,122,124
"126",1,2,6,66,395,13,16,22,100,125
"127",1,2,6,63,383,13,14,20,92,126
"128",1,2,6,71,403,13,14,20,100,127
"129",2,2,6,63,366,13,15,21,101,128
"130",2,2,6,63,373,13,15,21,108,129
"131",2,2,6,63,374,13,15,21,104,130
"132",2,4,6,57,376,13,15,21,109,131
"133",0,6,6,58,396,13,15,21,108,132
"134",0,6,6,56,395,13,15,19,105,133
"135",0,7,6,56,395,13,15,19,105,134
"136",0,7,6,56,395,13,15,19,105,135
"137",0,7,6,56,395,13,15,19,105,136
"138",1,8,6,50,399,13,15,20,107,137
"139",1,8,6,50,394,13,15,20,104,138
"140",2,7,6,45,388,15,17,22,107,139
"141",2,8,5,44,395,15,17,21,105,140
"142",2,8,5,44,396,15,17,21,102,141
"143",2,8,5,44,396,15,17,21,102,142
"144",2,8,5,42,394,17,19,23,105,143
"145",8,6,3,69,358,19,27,60,162,144
"146",8,6,3,69,356,19,26,58,116,145
"147",8,6,3,82,358,19,26,72,130,146
"148",8,6,3,82,358,12,19,65,122,147
"149",8,6,3,81,357,12,19,65,123,148
"150",8,6,3,95,366,12,21,79,140,149
"151",6,6,3,96,364,10,17,75,135,150
"152",5,8,3,94,361,11,18,76,144,151
"153",4,8,3,96,361,9,15,70,135,152
"154",3,8,3,96,358,4,11,64,118,153
"155",3,8,3,97,358,4,10,63,118,154
"156",3,8,3,96,355,4,10,67,122,155
"157",4,7,3,73,410,4,16,74,149,156
"158",4,7,3,65,405,2,17,46,109,157
"159",4,12,4,60,398,2,29,57,128,158
"160",4,12,4,59,403,2,28,44,112,159
"161",4,12,4,59,398,2,28,43,108,160
"162",4,13,4,59,404,2,29,44,109,161
"163",4,13,4,57,389,2,29,42,104,162
"164",3,19,7,52,317,2,41,54,149,163
"165",3,11,7,34,276,1,30,34,81,164
"166",2,13,7,40,338,1,31,37,99,165
"167",2,11,8,41,264,1,24,29,79,166
"168",2,15,7,45,283,1,24,33,85,167
"169",2,13,6,40,238,1,21,25,83,168
"170",2,13,3,46,241,2,15,24,89,169
"171",2,14,3,43,243,2,8,14,69,170
"172",2,14,3,43,241,2,7,13,68,171
"173",2,14,3,42,240,2,7,13,68,172
"174",3,13,4,55,250,4,9,19,92,173
"175",3,13,4,55,250,4,8,17,70,174
"176",7,13,4,54,260,4,9,24,77,175
"177",7,13,4,54,260,4,9,24,77,176
"178",7,13,4,54,260,4,9,24,77,177
"179",7,13,4,54,260,4,9,24,77,178
"180",7,13,4,54,260,4,9,24,77,179
"181",7,10,6,57,267,4,10,26,82,180
"182",7,10,6,57,266,4,10,26,82,181
"183",1,8,6,54,259,4,13,34,93,182
"184",1,8,6,54,256,3,11,23,79,183
"185",1,8,7,55,258,3,11,23,80,184
"186",1,8,7,55,258,3,11,23,79,185
"187",1,8,7,55,258,3,11,23,79,186
"188",1,8,7,55,258,3,11,23,79,187
"189",1,8,7,51,263,3,14,27,83,188
"190",1,8,7,51,263,3,14,24,80,189
"191",2,9,7,57,275,3,14,26,85,190
"192",2,9,7,57,272,2,10,22,80,191
"193",2,9,7,54,288,2,10,29,89,192
"194",2,9,7,54,288,2,9,26,85,193
"195",2,9,7,54,288,2,9,26,85,194
"196",2,9,7,54,288,2,9,27,86,195
"197",2,6,7,54,286,2,9,28,88,196
"198",2,6,7,54,283,2,9,26,81,197
"199",3,7,4,49,247,2,9,28,86,198
"200",3,7,5,48,222,2,9,16,70,199
"201",2,2,5,35,284,3,12,27,126,200
"202",2,2,5,34,280,3,10,23,83,201
"203",2,2,6,35,293,3,10,23,93,202
"204",2,2,6,35,292,3,10,22,92,203
"205",2,2,6,35,292,3,10,22,92,204
"206",2,2,6,35,292,3,10,22,90,205
"207",2,2,6,35,311,3,10,22,94,206
"208",0,1,6,31,318,3,11,23,103,207
"209",0,1,6,31,318,2,10,20,91,208
"210",0,1,6,31,318,2,10,20,91,209
"211",0,1,5,30,317,2,10,20,91,210
"212",0,1,5,30,317,2,10,20,92,211
"213",0,1,4,30,335,2,10,20,100,212
"214",0,1,5,31,337,2,3,13,91,213
"215",0,1,5,31,337,2,3,13,91,214
"216",0,1,5,31,337,2,3,13,91,215
"217",0,1,5,31,337,2,3,13,91,216
"218",0,1,5,31,337,2,3,13,91,217
"219",0,1,5,31,337,2,3,13,91,218
"220",0,1,5,31,337,2,3,13,91,219
"221",0,1,5,29,339,2,4,14,92,220
"222",0,1,5,32,339,2,4,15,105,221
"223",0,1,5,32,339,2,4,15,105,222
"224",0,1,5,32,339,2,4,15,106,223
"225",0,1,5,32,340,2,3,14,104,224
"226",0,1,5,32,340,2,3,14,104,225
"227",0,1,5,26,367,2,3,14,110,226
"228",0,1,5,26,366,2,3,14,100,227
"229",0,1,5,30,370,2,5,16,102,228
"230",1,1,3,38,353,2,8,19,111,229
"231",1,1,3,37,353,2,6,17,86,230
"232",1,1,3,39,352,2,6,17,85,231
"233",1,1,3,39,352,2,6,17,84,232
"234",1,1,2,37,340,3,7,18,89,233
"235",1,1,2,40,340,3,6,17,81,234
"236",1,1,2,40,340,3,6,17,81,235
"237",1,0,2,36,297,4,7,19,92,236
"238",1,0,2,28,272,2,3,16,70,237
"239",1,0,2,28,271,2,3,16,57,238
"240",1,0,2,28,271,2,3,16,57,239
"241",1,0,2,29,259,2,3,19,61,240
"242",1,0,2,28,269,2,3,20,57,241
"243",0,0,2,32,269,2,4,21,55,242
"244",0,0,2,31,268,2,4,21,54,243
"245",0,0,2,31,268,2,3,20,53,244
"246",0,0,2,31,274,2,3,20,61,245
"247",13,1,2,48,311,13,18,37,124,246
"248",19,1,2,50,329,19,32,43,137,247
"249",18,1,2,50,322,20,29,40,125,248
"250",18,1,2,50,325,18,30,41,128,249
"251",15,1,2,49,308,18,28,39,143,250
"252",13,0,6,37,546,29,41,52,165,251
"253",6,0,6,37,539,1,6,16,58,252
"254",6,0,6,38,544,1,6,16,61,253
"255",6,0,6,38,553,1,6,16,60,254
"256",6,0,6,38,549,1,6,16,61,255
"257",6,0,6,41,560,1,6,18,64,256
"258",6,0,6,41,558,1,6,18,63,257
"259",6,0,6,42,575,1,6,29,82,258
"260",6,0,6,42,572,1,6,29,79,259
"261",6,0,6,42,573,1,6,30,83,260
"262",6,0,6,42,571,1,6,30,82,261
"263",6,0,6,47,598,1,6,31,93,262
"264",8,0,6,47,589,1,6,30,92,263
"265",13,0,6,60,629,1,9,32,99,264
"266",13,0,4,57,627,1,9,32,97,265
"267",13,0,4,57,629,1,9,32,97,266
"268",12,0,4,59,643,1,9,32,105,267
"269",12,0,4,51,675,1,9,34,136,268
"270",12,0,5,51,674,1,9,33,126,269
"271",12,0,5,49,677,1,9,33,132,270
"272",13,0,5,49,676,1,9,33,128,271
"273",13,0,6,60,688,1,9,34,160,272
"274",10,0,6,59,673,1,5,27,129,273
"275",11,0,6,61,676,1,5,26,154,274
"276",11,0,6,62,686,1,5,27,145,275
"277",11,0,6,62,684,1,5,26,141,276
"278",11,0,6,62,685,1,5,24,139,277
"279",12,1,6,62,689,1,5,24,146,278
"280",21,11,6,66,687,1,5,23,175,279
"281",10,0,6,65,665,1,5,19,136,280
"282",10,0,7,72,659,1,5,19,161,281
"283",10,0,7,71,664,1,5,11,121,282
"284",11,0,7,66,690,4,9,15,127,283
"285",5,0,7,62,673,9,16,21,130,284
"286",5,0,8,51,674,9,13,18,139,285
"287",5,0,8,51,671,10,12,17,116,286
"288",4,0,8,69,698,7,9,14,116,287
"289",4,0,8,69,685,1,3,8,106,288
"290",5,1,9,75,712,1,4,9,108,289
"291",5,1,9,64,723,1,4,9,106,290
"292",5,1,9,63,706,1,4,9,106,291
"293",5,1,9,62,723,1,4,10,112,292
"294",5,1,9,63,725,1,4,10,113,293
"295",5,0,8,60,688,1,4,9,115,294
