,edge,span,mid,ferruginous,possible euxinic,euxinic
129,473,1,472.5,0.876,0.071,0.053
130,474,1,473.5,0.876,0.071,0.053
131,477,3,475.5,0.876,0.071,0.053
132,478,1,477.5,0.876,0.071,0.053
133,479,1,478.5,0.868,0.079,0.053
134,480,1,479.5,0.827,0.121,0.053
135,481,1,480.5,0.825,0.123,0.053
136,482,1,481.5,0.825,0.123,0.053
137,483,1,482.5,0.825,0.123,0.053
138,484,1,483.5,0.825,0.123,0.053
139,485,1,484.5,0.825,0.123,0.053
140,490,5,487.5,0.825,0.123,0.053
141,495,5,492.5,0.825,0.101,0.074
142,496,1,495.5,0.825,0.093,0.082
143,497,1,496.5,0.825,0.093,0.082
144,498,1,497.5,0.825,0.093,0.082
145,499,1,498.5,0.825,0.093,0.082
146,501,2,500,0.825,0.093,0.082
147,506,5,503.5,0.822,0.080,0.098
148,508,2,507,0.769,0.108,0.124
149,510,2,509,0.753,0.073,0.174
150,511,1,510.5,0.703,0.122,0.175
151,512,1,511.5,0.699,0.124,0.177
152,513,1,512.5,0.699,0.125,0.176
153,514,1,513.5,0.699,0.126,0.175
154,516,2,515,0.732,0.093,0.175
155,517,1,516.5,0.766,0.110,0.124
156,518,1,517.5,0.825,0.093,0.082
157,519,1,518.5,0.876,0.041,0.082
158,520,1,519.5,0.877,0.070,0.053
159,522,2,521,0.918,0.053,0.029
160,523,1,522.5,0.918,0.055,0.028
161,524,1,523.5,0.918,0.055,0.028
162,525,1,524.5,0.918,0.030,0.053
163,526,1,525.5,0.918,0.030,0.053
164,527,1,526.5,0.882,0.065,0.053
165,528,1,527.5,0.876,0.071,0.053
166,529,1,528.5,0.876,0.071,0.053
167,530,1,529.5,0.876,0.071,0.053
168,531,1,530.5,0.876,0.071,0.053
169,532,1,531.5,0.876,0.071,0.053
170,533,1,532.5,0.876,0.071,0.053
171,534,1,533.5,0.876,0.041,0.082
172,535,1,534.5,0.876,0.041,0.082
173,536,1,535.5,0.876,0.041,0.082
174,537,1,536.5,0.876,0.041,0.082
175,538,1,537.5,0.876,0.041,0.082
176,540,2,539,0.825,0.093,0.082
177,541,1,540.5,NA,NA,NA
